,n_neurons,has_filters,n_layers,n_filters,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
61,28,True,1,146,34530,0.0063305692314694,0.628147304058075,0.6439660787582397,0.6439660787582397,6
62,249,True,2,182,1861,3.081107107919589e-06,0.6297960877418518,0.6480873823165894,0.6480873823165894,6
63,629,False,2,8484,2157,0.03994346822914,0.633245050907135,0.6494235396385193,0.6494235396385193,2
64,26,False,3,305,5826,0.0008873517809646,0.63491290807724,0.6360756158828735,0.6360756158828735,38
65,348,True,3,7879,2105,1.1279605072115925e-06,0.6356945633888245,0.6420770883560181,0.6420770883560181,17
66,1294,True,1,97,1559,6.95657842658607e-06,0.6367493271827698,0.6431778073310852,0.6431778073310852,6
67,66,True,1,1666,1909,0.0329647093209891,0.6384928822517395,0.6389157176017761,0.6389157176017761,9
68,26,True,3,62,3749,6.769897667989583e-05,0.638800323009491,0.6320844888687134,0.6320844888687134,78
69,28889,True,1,24,17673,0.0214186642142084,0.6419934034347534,0.6280742287635803,0.6280742287635803,3
70,26955,False,1,1795,5559,0.0069232886823742,0.6424596905708313,0.6427881121635437,0.6427881121635437,8
71,3091,True,1,6104,21442,1.1829493482549662e-05,0.642704427242279,0.640878438949585,0.640878438949585,3
72,21,False,3,16,13810,0.000349889566838,0.6477518081665039,0.6199081540107727,0.6199081540107727,14
73,19148,True,3,411,1439,0.0159524363221913,0.6508826017379761,0.6364414691925049,0.6364414691925049,4
74,8437,True,2,19,7269,8.922239836974564e-06,0.652893602848053,0.6122058033943176,0.6122058033943176,10
75,9166,False,2,97,2421,0.004684170745385,0.654549241065979,0.6320711374282837,0.6320711374282837,4
76,27,False,3,13,1616,0.0010039488932305,0.6550107002258301,0.6131021976470947,0.6131021976470947,59
77,481,True,2,16,68353,0.0032567538501307,0.6572078466415405,0.6050815582275391,0.6050815582275391,4
78,69,True,1,15,23655,1.76702900863212e-05,0.6591879725456238,0.6030178070068359,0.6030178070068359,7
79,48,True,2,982,1893,0.0753912037786184,0.6611227989196777,0.6037110686302185,0.6037110686302185,5
80,1828,False,1,3685,1221,0.0005267181584001,0.6621730327606201,0.6207348108291626,0.6207348108291626,2
81,267,True,1,5660,1265,2.3072842524072937e-05,0.663572371006012,0.6289941668510437,0.6289941668510437,4
82,1995,True,3,13,11827,0.0308549798758325,0.6657307744026184,0.5925911068916321,0.5925911068916321,5
83,3103,False,1,1341,1316,0.0831780136889311,0.6683360934257507,0.6245511770248413,0.6245511770248413,2
84,156,True,3,62,971,0.0002647506524121,0.6687912344932556,0.608570396900177,0.608570396900177,12
85,8626,True,3,5899,782,1.2159489917904867e-06,0.669015109539032,0.6062014102935791,0.6062014102935791,6
86,1394,True,1,11,1027,0.0003083936137503,0.6789839863777161,0.5713882446289062,0.5713882446289062,29
87,133,False,3,23,686,0.0001438120936248,0.6894110441207886,0.5747836828231812,0.5747836828231812,8
88,270,True,1,24,609,0.0015468523615469,0.6898688077926636,0.5403317809104919,0.5403317809104919,5
89,106,False,1,80,655,2.362259691159072e-05,0.6900774836540222,0.5796784162521362,0.5796784162521362,15
90,105,True,3,162,594,0.0189308021295426,0.6902679204940796,0.5433467030525208,0.5433467030525208,3
91,3838,True,2,10,500,1e-06,0.6959410905838013,0.5255125164985657,0.5255125164985657,2
92,1108,True,1,8935,750,8.591044900285135e-05,0.6963592767715454,0.5802237391471863,0.5802237391471863,1
93,209,False,3,55,568,0.00032793807326,0.6987438201904297,0.5614576935768127,0.5614576935768127,4
94,3560,False,2,3111,855,0.001403780900055,0.7293998003005981,0.6143020987510681,0.6143020987510681,1
95,4138,False,2,477,707,4.556925570759466e-06,0.7703694105148315,0.5861837863922119,0.5861837863922119,0
96,13250,False,2,317,770,0.0042626260141971,0.9510237574577332,0.605073869228363,0.605073869228363,2
