,n_neurons,n_filters,n_layers,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
40,26623,154,2,2933,2.0393306807970715e-05,0.6117681264877319,0.6714631915092468,0.6714631915092468,1
41,17,35,2,925,4.7144605449258445e-05,0.6165583729743958,0.6586801409721375,0.6586801409721375,120
42,45,9923,3,784,0.00026639866363175696,0.6171419024467468,0.6673599481582642,0.6673599481582642,32
43,1784,15,3,8486,0.03782702804000396,0.6177871823310852,0.6553533673286438,0.6553533673286438,5
44,20464,513,3,3912,0.002220527975268434,0.6186127662658691,0.6695533990859985,0.6695533990859985,0
45,14,3797,2,5245,0.0031033215750903872,0.6209383010864258,0.6519665718078613,0.6519665718078613,9
46,3375,14,3,4191,0.001568810498242267,0.6236097812652588,0.6491232514381409,0.6491232514381409,11
47,13,16,1,38779,0.0004112281859765246,0.6250460147857666,0.6471399664878845,0.6471399664878845,6
48,16985,103,3,1431,0.00012258366477393035,0.625219464302063,0.6613633036613464,0.6613633036613464,2
49,13,36,1,13750,3.015246032506676e-05,0.6252837777137756,0.6452765464782715,0.6452765464782715,47
50,3306,146,2,573,0.0002729481042263909,0.6281923055648804,0.6668832898139954,0.6668832898139954,3
51,12,366,3,32918,0.0030485587769149996,0.6295587420463562,0.6414932608604431,0.6414932608604431,5
52,874,920,3,500,2.1243415258651697e-05,0.6306630969047546,0.6606499552726746,0.6606499552726746,2
53,16235,58,1,500,1e-06,0.6377079486846924,0.6576765775680542,0.6576765775680542,6
54,19654,11,2,57170,0.0005124042074488092,0.638910710811615,0.6259433031082153,0.6259433031082153,5
55,10,2213,1,5342,0.003492882162491815,0.6432124972343445,0.624133288860321,0.624133288860321,6
56,6315,10,2,13771,1.0086023776965474e-06,0.6439005136489868,0.6226933002471924,0.6226933002471924,6
57,34,10,1,1937,1.993119580540018e-05,0.6444867849349976,0.6232166290283203,0.6232166290283203,31
58,9679,928,2,833,0.0008584098006231806,0.6452667713165283,0.661453366279602,0.661453366279602,1
59,12,10,2,1591,0.0002522859744424832,0.645596981048584,0.6218032836914062,0.6218032836914062,53
60,20,17,2,856,0.0037365517128535404,0.6487837433815002,0.6192232370376587,0.6192232370376587,30
61,8,134,2,3893,0.003656048742788884,0.6530556678771973,0.6103200912475586,0.6103200912475586,13
62,10,99,2,607,4.912211432235001e-05,0.6562855839729309,0.6109300255775452,0.6109300255775452,93
63,73,8,1,1047,0.0006283022228029866,0.6579358577728271,0.6051698923110962,0.6051698923110962,27
64,6061,6,1,9876,0.0003942321922465265,0.6635591983795166,0.591620147228241,0.591620147228241,6
65,5,2299,3,6506,2.2280948682056883e-06,0.6685263514518738,0.5834399461746216,0.5834399461746216,16
66,6,5,2,1934,0.0015617402777073448,0.6693345308303833,0.5835233330726624,0.5835233330726624,35
67,4328,5,1,2195,0.0010401965105791792,0.6695871353149414,0.582179844379425,0.582179844379425,7
68,5,22,1,1042,1.2235778373297673e-06,0.6710454821586609,0.5815700888633728,0.5815700888633728,61
69,4,2279,3,2412,3.385774099512062e-06,0.6740125417709351,0.5725199580192566,0.5725199580192566,38
70,3,3,1,7267,3.353982792098164e-06,0.6781562566757202,0.5651331543922424,0.5651331543922424,11
71,232,3,3,23334,2.093007481595517e-06,0.6782288551330566,0.5594799518585205,0.5594799518585205,11
72,3,7579,1,28645,0.0008145232202818111,0.6784120798110962,0.5613234043121338,0.5613234043121338,5
73,3,1651,3,7273,0.0017500503102649086,0.6786638498306274,0.5618500113487244,0.5618500113487244,6
74,452,3,3,4969,4.302858166686718e-06,0.678736686706543,0.5617932677268982,0.5617932677268982,11
75,7387,3,3,2751,3.5446238248808546e-05,0.680050790309906,0.5602132678031921,0.5602132678031921,14
76,3,15,3,980,5.256937281700762e-06,0.6801834106445312,0.560666561126709,0.560666561126709,78
77,4,3,3,613,3.4432241728626236e-05,0.682171106338501,0.5559599995613098,0.5559599995613098,104
78,3,2,2,90846,0.0870093821901558,0.6831883192062378,0.5505266785621643,0.5505266785621643,0
79,2,36,3,40121,0.018914577138405088,0.6832032203674316,0.5505099892616272,0.5505099892616272,1
80,76,2,2,71177,0.013065001447232999,0.6832037568092346,0.54572993516922,0.54572993516922,2
81,38,2,2,5110,8.704744464517737e-06,0.6834855079650879,0.5483231544494629,0.5483231544494629,2
82,1,37,2,86554,0.0015389727187005778,0.688200831413269,0.5315466523170471,0.5315466523170471,2
83,1,479,2,9502,0.008631021382029952,0.6882556676864624,0.5302265882492065,0.5302265882492065,5
84,1,648,1,4898,1.6705039024750076e-05,0.6885251402854919,0.5279899835586548,0.5279899835586548,8
85,1,136,3,2409,0.050005197108197265,0.6893394589424133,0.5271766185760498,0.5271766185760498,4
86,1,3,3,2823,0.04032366294681701,0.6896404027938843,0.5285933017730713,0.5285933017730713,4
87,6,6,1,966,0.020046133048211397,0.6899716258049011,0.5298066735267639,0.5298066735267639,5
88,5604,4,3,517,0.040192374918030044,0.6902670860290527,0.5319368243217468,0.5319368243217468,5
89,1,40,3,1010,0.002750254739909209,0.6915268301963806,0.5189266800880432,0.5189266800880432,5
