,n_neurons,n_filters,n_layers,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
0,500,222,1,38300,8.257792415245474e-05,0.5494217276573181,0.7181532979011536,0.7181532979011536,29
1,67,58,2,37685,1.565214347660788e-06,0.552609920501709,0.7148066163063049,0.7148066163063049,12
2,124,1921,3,85771,0.0031251452360819562,0.5563549995422363,0.7119433879852295,0.7119433879852295,7
3,4068,468,1,68629,0.006324313886543637,0.5565771460533142,0.7114666104316711,0.7114666104316711,9
4,8411,50,1,42253,0.00024731706891884496,0.5569887161254883,0.7113001346588135,0.7113001346588135,15
5,502,5679,1,29449,0.0002680186973532562,0.558963418006897,0.7098633646965027,0.7098633646965027,9
6,10758,402,1,34737,9.660506919665443e-06,0.5592365264892578,0.7098631858825684,0.7098631858825684,16
7,47,781,2,5267,1.2051790408881576e-06,0.5600874423980713,0.7080766558647156,0.7080766558647156,19
8,171,2283,3,6250,1.1221159916911832e-05,0.5604540109634399,0.7084631323814392,0.7084631323814392,28
9,877,2292,3,20590,2.8841038994407404e-06,0.5612231492996216,0.7070200443267822,0.7070200443267822,19
10,2647,269,1,6840,0.00033007575993204246,0.5612987279891968,0.7085332870483398,0.7085332870483398,21
11,18815,93,1,26908,0.015059311311339594,0.5617544054985046,0.7079432010650635,0.7079432010650635,5
12,780,41,3,15416,0.00034085403043774816,0.563744068145752,0.7051534056663513,0.7051534056663513,23
13,254,606,1,3221,3.609799561566686e-06,0.5642344355583191,0.7057065963745117,0.7057065963745117,14
14,48,36,2,5601,0.00018728196006010588,0.5659567713737488,0.7029266953468323,0.7029266953468323,37
15,5435,144,3,65424,4.407436916580856e-05,0.5689711570739746,0.7010299563407898,0.7010299563407898,17
16,76,51,2,4227,0.027618800937087632,0.5703975558280945,0.7008898854255676,0.7008898854255676,8
17,8288,50,2,3947,8.66434465203477e-05,0.5718931555747986,0.6995368003845215,0.6995368003845215,25
18,8630,1705,3,9524,0.00021319611920011516,0.5721868276596069,0.6985368132591248,0.6985368132591248,16
19,123,31,3,2404,4.904962790907607e-06,0.5776962637901306,0.6925399303436279,0.6925399303436279,31
20,5975,197,3,7350,0.00034190828321534596,0.5779373645782471,0.693149983882904,0.693149983882904,18
21,2287,549,2,2233,0.0006552503457820933,0.5786845684051514,0.6935967803001404,0.6935967803001404,15
22,104,2022,1,1833,0.0009754177109718194,0.5801498889923096,0.6941000819206238,0.6941000819206238,4
23,7367,8847,1,9246,0.015183883388668289,0.5813124775886536,0.6934500336647034,0.6934500336647034,8
24,11512,27,2,72635,3.325824075387067e-06,0.5816953778266907,0.6890899538993835,0.6890899538993835,12
25,265,25,3,18515,0.00020536404399376946,0.5819053649902344,0.6886700987815857,0.6886700987815857,16
26,16789,56,1,1402,8.234913432846005e-06,0.5844432711601257,0.6907531023025513,0.6907531023025513,7
27,150,124,3,1242,3.5717168171388363e-06,0.5846644639968872,0.690223217010498,0.690223217010498,10
28,30,31,3,11873,0.016997198476330824,0.5854175090789795,0.6860733032226562,0.6860733032226562,8
29,37,4956,3,2771,0.002813784134399338,0.5854717493057251,0.6868698596954346,0.6868698596954346,18
30,387,5797,2,3131,0.053654779189290736,0.585835874080658,0.6878499388694763,0.6878499388694763,4
31,13461,410,1,2062,0.0003361698956039438,0.5858875513076782,0.6881032586097717,0.6881032586097717,5
32,12872,1148,1,8164,0.052227369700128694,0.5861455202102661,0.6887465715408325,0.6887465715408325,4
33,444,26,3,4646,0.005683457189049206,0.5878782272338867,0.6835066080093384,0.6835066080093384,6
34,12302,40,1,1457,0.06600066546803805,0.5890289545059204,0.6855566501617432,0.6855566501617432,5
35,61,17,3,27463,2.6206239809339585e-06,0.6026270985603333,0.6700167059898376,0.6700167059898376,18
36,352,7802,3,1180,0.027966524485150118,0.6026806831359863,0.6736065149307251,0.6736065149307251,1
37,523,17,2,9714,0.0689981986085386,0.6049872636795044,0.6687198877334595,0.6687198877334595,5
38,38,17,3,2483,0.0026553180316948974,0.6075319051742554,0.6667165756225586,0.6667165756225586,28
39,730,16,2,35202,0.003342840765642106,0.6092479228973389,0.663800060749054,0.663800060749054,5
