,n_neurons,n_filters,n_layers,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
38,11658,296,1,1855,3.1816848387125603e-06,0.3848772346973419,0.8198665976524353,0.8198665976524353,19
39,118,1229,1,1089,1.7020157131813577e-06,0.3860868215560913,0.8205600380897522,0.8205600380897522,14
40,17,138,1,90103,0.008655962500353855,0.38787466287612915,0.8164664506912231,0.8164664506912231,5
41,3543,49,1,1039,0.09063854635410291,0.3890760540962219,0.8187466859817505,0.8187466859817505,10
42,2235,197,2,2149,0.0015389225218063905,0.3894329369068146,0.8186533451080322,0.8186533451080322,17
43,404,50,1,644,2.8613542240517772e-06,0.3895108103752136,0.8169066309928894,0.8169066309928894,59
44,67,1907,1,741,0.02005415142391527,0.39072343707084656,0.8185601234436035,0.8185601234436035,12
45,13015,1152,1,3281,0.0015340936309171638,0.393085241317749,0.815359890460968,0.815359890460968,8
46,224,17,2,3103,0.0012840055320526937,0.395681768655777,0.8130000829696655,0.8130000829696655,15
47,267,16,1,24041,0.0009080714829592106,0.3960435092449188,0.8129066824913025,0.8129066824913025,6
48,1124,17,3,42281,0.024648088199694468,0.3968263864517212,0.8127733469009399,0.8127733469009399,5
49,46,474,2,586,0.000646138350702352,0.39689403772354126,0.8141866326332092,0.8141866326332092,27
50,569,3245,1,645,0.0004612174981938648,0.3996996283531189,0.8143468499183655,0.8143468499183655,12
51,583,240,2,500,1e-06,0.4028089940547943,0.8125064969062805,0.8125064969062805,20
52,765,82,3,2038,0.032316977000895676,0.40337470173835754,0.812946617603302,0.812946617603302,6
53,896,5421,3,3630,0.022731136810645428,0.4055492877960205,0.8097599148750305,0.8097599148750305,7
54,640,15,1,3861,0.001805170340763467,0.411282479763031,0.8045466542243958,0.8045466542243958,8
55,3078,69,3,2918,0.011184104775872344,0.41384029388427734,0.805386483669281,0.805386483669281,10
56,16,22,3,21074,2.8041542520220557e-06,0.4163880944252014,0.800986647605896,0.800986647605896,25
57,14,2225,3,53448,0.04984100323633055,0.41705477237701416,0.8027332425117493,0.8027332425117493,5
58,2783,1721,2,2845,0.05176205272048407,0.417794406414032,0.8034266233444214,0.8034266233444214,4
